title,album_name,artist_name
너나 해 (Egotistic),RED MOON,마마무 (Mamamoo)
그해 여름,그해 여름,"양다일, 웬디 (WENDY)"
Chandelier,Chandelier,Sia
Cereal (Feat. ZICO),wonderlost,크러쉬 (CRUSH)
CHILLAX,Summer Nights,TWICE
지각,Group,장덕철
마치 우린 없었던 사이 (Prod. 정키),마치 우린 없었던 사이 (Prod. 정키),다비치
그 날 (Original Ver.),미스터 션샤인 OST Part 1,박효신
Way Back Home,Take,숀 (SHAUN)
장마,장마,마마무 (Mamamoo)
동화,The Fairy Tale,멜로망스 (MeloMance)
1도 없어,ONE & SIX,에이핑크 (Apink)
Dance The Night Away,Summer Nights,TWICE
Lock You Down (Special Track),`The Story of Light` EP.3 - The 6th Album,샤이니 (SHINee)
Shadow,"WHO, YOU",뉴이스트 W
중력달 (Gravity&Moon),"WHO, YOU",뉴이스트 W
ylenoL,"WHO, YOU",뉴이스트 W
Signal,"WHO, YOU",뉴이스트 W
그대만 보여서,김비서가 왜 그럴까 OST Part.5,김나영
북극성 (Polaris),"WHO, YOU",뉴이스트 W
네가 남겨둔 말 (Our Page),`The Story of Light` EP.3 - The 6th Album,샤이니 (SHINee)
BAAM,Fun to The World,모모랜드 (MOMOLAND)
Dejavu,"WHO, YOU",뉴이스트 W
"1, 2, 3",THIS IS US,"서은광, 이창섭, 임현식, 육성재"
정진철,DARKROOM : roommates only,사이먼 도미닉 (Simon Dominic)
Yeah,THIS IS US,비투비 (BTOB)
길에서,리플리 Vol.1,양요섭
Circus,Something New - The 3rd Mini Album,태연 (TAEYEON)
귀가본능 (Feat. JINBO the superfreak),DARKROOM : roommates only,사이먼 도미닉 (Simon Dominic)
불행 (Feat. 빈첸 (VINXEN)),불행,오반 (OVAN)
Call me,THIS IS US,비투비 (BTOB)
저녁의 이유 (All Night Long) (Feat. LUCAS of NCT),Something New - The 3rd Mini Album,태연 (TAEYEON)
Blue Moon,THIS IS US,비투비 (BTOB)
Something New,Something New - The 3rd Mini Album,태연 (TAEYEON)
너 없인 안 된다,THIS IS US,비투비 (BTOB)
LOVE,너도 인간이니? OST Part 2,"린(LYn),한해"
See U Later,SQUARE UP,BLACKPINK
질투나,더 콜(The Call) 세 번째 프로젝트,"거미, 에일리"
Really,SQUARE UP,BLACKPINK
오늘은 가지마,To Love Somebody,임세준
사랑비,1집 T-Virus,김태우
"혼자, 한잔",戀書(연서),허각
노래가 늘었어,노래가 늘었어,에일리 (Ailee)
비밀번호 486,고백하기 좋은 날,윤하
보여줄게,Invitation,에일리 (Ailee)
Endless,소품집 (해룡이의 Sad Love Story),플라워 (Flower)
"눈, 코, 입",RISE,태양
...사랑했잖아,Can U See The Bright,린 (LYn)
그립고 그립고 그립다,그립고 그립고 그립다,케이윌 (K.will)
취하고 싶다 (Prod. By 전태익),취하고 싶다,황인욱
그대를 사랑하는 10가지 이유,인사,이석훈
서울의 달,Be Like...,김건모
애상,윤일상 작곡가 21주년 기념 앨범 I`m 21,10cm
오래된 노래,Shine,스탠딩 에그(Standing Egg)
사랑했지만,5집 Classic,김광석
끝사랑,7집 Solista Part 2,김범수
꿈에,박정현 Op.4,박정현
사랑했었다 (Still love you),FNC LAB `사랑했었다 (Still love you)`,"이홍기, 유회승"
홍연,안예은,안예은
사랑합니다,First 영민,팀 (Tim)
사랑의 배터리,사랑의 배터리,홍진영
미인 (美人),Para Ti,이기찬
그녀를 사랑해줘요,1집 Stand Alone,하동균
"범퍼카 (Feat. NO:EL, Young B)",범퍼카,한요한
고백,보고싶었어요,정준일
꽃피는 봄이 오면,Soul Food,BMK
헤어지는 중입니다,소리 위를 걷다,이은미
봄봄봄,봄봄봄,로이킴
Officially Missing You,Officially Missing You,긱스 (Geeks)
서쪽 하늘,슈퍼스타K3 TOP 11 Part 5,울랄라세션
내가 너의 곁에 잠시 살았다는 걸,Youheeyeol,"토이 (Toy), 김연우"
불장난,SQUARE TWO,BLACKPINK
기다릴게,공주의 남자 OST Part 3,"하동균, 이정"
정류장,슈퍼스타K3 TOP 11 Part 3,버스커 버스커 (Busker Busker)
기다리다,Love Drive,윤하
널 사랑하지 않아,스틸,어반 자카파 (Urban Zakapa)
너를 위해,Story Of Two Years,임재범
듣는편지,듣는편지,40 (포티)
입술의 말,UNVEILING,엠씨더맥스 (M.C The Max)
애인... 있어요,6집 Ma Non Tanto,이은미
이별택시,연인,김연우
시간을 거슬러,해를 품은 달 OST Part 2,린 (LYn)
남자를 몰라,Perfect,버즈 (Buzz)
캔디 (Candy),We Hate All Kinds Of Violence,H.O.T
첫 눈,도깨비 OST Part 8,정준일
Let It Go,Frozen OST,Idina Menzel
친구라도 될 걸 그랬어,Like Them,거미
잠시만 안녕 (Original),M.C The Max!,엠씨더맥스 (M.C The Max)
바라보기,미녀의 탄생 OST PART 4,엠씨더맥스 (M.C The Max)
감사,Thanks (감사),김동률
광화문에서 (At Gwanghwamun),The 1st Mini Album `광화문에서 (At Gwanghwamun)`,규현 (KYUHYUN)
1월부터 6월까지,행보 2013 윤종신,윤종신
이미 슬픈 사랑,Wear To Healing YADA,야다 (Yada)
잊지 말아요,아이리스 OST Part 1,백지영
나를 사랑했던 사람아,Lacrimoso,허각
천년의 사랑,천년지애 (千年之愛),박완규
나비잠 (Sweet Dream),나비잠 (Sweet Dream),"희철, 민경훈"
"노땡큐 (Feat. MINO, 사이먼 도미닉, 더콰이엇)",WE`VE DONE SOMETHING WONDERFUL,에픽하이 (EPIK HIGH)
8282,Davichi In Wonderland,다비치
형 (兄),4집 환골탈태 (換骨奪胎),노라조
삭제,나방의 꿈,이승기
죽일 놈 (Guilty),5집 Band Of Dynamic Brothers,다이나믹 듀오 (Dynamic Duo)
